Order History logoOrder History
esexton [ Log off ]
Sales Lookup - 2/15/2021
Date
2/15/2021
Store
101 - Tustin
Sales Person
esexton
Cashier/CSR
 
Details assigned to esexton on 2/15/2021
 
Units
Revenue
Attach %
ASP
Revenue Per Unit
Customers Served: 27	 	$2,945.15	 	 	$0.00
Computers Sold	0	$0.00		$0.00	
Service Plans Sold	4	$35.96	1.22 %	$8.99	$0.00
ESET Sold	0	$0.00	0.00 %	$0.00	$0.00
Office Sold	0	$0.00	0.00 %	$0.00	$0.00
Monitors	0	$0.00	0.00 %	$0.00	$0.00
Nord VPN	0	$0.00	0.00 %	$0.00	$0.00
Processors Sales	0	$0.00		$0.00	
Processor Attach	0	$0.00			$0.00
Custom Builds	0	$0.00	0.00 %	$0.00	
Custom Build Service Plan	0	$0.00	0.00 %	$0.00	
Micro Center Insider Card		$0.00	0.00 %		
Transaction Number
Sale Type
Line
Sku
Description
Qty
Unit Price
Total
 	 	 	 	 	 	 	Total: $2,945.15
101-PO-11131801	Sale	3	997874	USB Type-C 3.1 to Type-A Adapter - 2 Pack	1	$10.99	$10.99
101-RE-11131772	Exchange	1	438416	Micro-HDMI Male to HDMI Female Digital A/V HD Camera Conversion Cable	-1	($14.99)	($14.99)
101-PO-11131729	Sale	1	438416	Micro-HDMI Male to HDMI Female Digital A/V HD Camera Conversion Cable	1	$14.99	$14.99
101-PO-11131719	Sale	1	740357	1-Meter USB-C to USB-A SuperSpeed 5Gbps 3Amp Cable (CC2231A-1M)	1	$19.99	$19.99
101-PO-11131699	Sale	1	052704	Model D Gaming Mouse - Matte Black	1	$49.99	$49.99
101-PO-11131699	Sale	2	937011	ASSIST XL Cloth Mouse Mat - Nero	1	$14.99	$14.99
101-PO-11131523	Sale	1	161349	BOOST CHARGE Lightning to USB-A Charge/ Sync Cable 6.6 ft. 2 Pack - White	1	$19.99	$19.99
101-PO-11131472	Sale	1	916353	PCE-AC58BT AC2100 Wireless Adapter	1	$44.99	$44.99
101-PO-11131469	Sale	2	190694	Game Capture HD60 S+	1	$194.99	$194.99
101-PO-11131464	Sale	1	862318	BarraCuda 2TB 7200RPM SATA III 6Gb/s 3.5" Internal Hard Drive	1	$54.99	$54.99
101-PO-11131464	Sale	2	916353	PCE-AC58BT AC2100 Wireless Adapter	1	$44.99	$44.99
101-PO-11131462	Sale	3	816769	G502 HERO Gaming Mouse	1	$49.99	$49.99
101-PO-11131462	Sale	4	162206	K55 RGB Gaming Keyboard - Quiet & Satisfying LED Backlit Keys - Media Controls - Wrist Rest Included – Onboard Macro Recording	1	$49.99	$49.99
101-PO-11131458	Sale	6	010561	Motorized Height-Adjustable Gaming Desk	1	$499.99	$499.99
101-PO-11131430	Sale	1	991075	Soldering Tool Kit - ETL Approved	1	$14.99	$14.99
101-PO-11131428	Sale	2	109157	Cloud Stinger Core Wireless 7.1 Gaming Headset for PC - Black	1	$79.99	$79.99
101-PO-11131409	Sale	3	163162	FireWire 400 (6-Pin) Male to FireWire 400 (6-Pin) Male Cable 10 ft. - Black	1	$17.99	$17.99
101-PO-11131409	Sale	4	568170	Mini-Din 4-Pin Male to Mini-Din 4-Pin Male Digital Cable 6 ft. - Black	1	$9.99	$9.99
101-PO-11131409	Sale	6	460980	Composite/ Mini-Din 4-Pin Female to 4K HDMI Converter	1	$129.99	$129.99
101-PO-11131365	Sale	1	268003	TOSLINK Male to TOSLINK Male Digital Optical Audio Cable 6 ft. - Black	1	$11.99	$11.99
101-PO-11131351	Sale	1	037499	5,200 USB-A Power Bank - Silver	1	$0.01	$0.01
101-PO-11131343	Sale	2	417386	u-Click PS/2 Optical Mouse Black	1	$7.99	$7.99
101-PO-11131328	Sale	1	984062	Expert Mouse - Wireless Trackball	1	$109.99	$109.99
101-PO-11131328	Sale	2	925404	Graphic Card Anti-sag Bracket	1	$7.99	$7.99
1
100
items per page
©2021 Micro Electronics, Inc.
